"DistanceKm","SciencePotential","SafetyPotential","SciencePoints","SafetyPoints","TotalPoints"
"7.84","0.0236865476901976","1","1.18432738450988","50","51.1843273845099"
"7.85","0.0234285480050079","1","1.17142740025039","50","51.1714274002504"
"7.86","0.0231729877448786","1","1.15864938724393","50","51.1586493872439"
"7.87","0.0229198484336491","1","1.14599242168245","50","51.1459924216825"
"7.88","0.0226691116812741","1","1.13345558406371","50","51.1334555840637"
"7.89","0.0224207591840541","1","1.12103795920271","50","51.1210379592027"
"7.9","0.0221747727248552","1","1.10873863624276","50","51.1087386362428"
"7.91","0.0219311341733203","1","1.09655670866602","50","51.096556708666"
"7.92","0.0216898254860714","1","1.08449127430357","50","51.0844912743036"
"7.93","0.0214508287069018","1","1.07254143534509","50","51.0725414353451"
"7.94","0.0212141259669604","1","1.06070629834802","50","51.060706298348"
"7.95","0.0209796994849257","1","1.04898497424629","50","51.0489849742463"
"7.96","0.0207475315671725","1","1.03737657835862","50","51.0373765783586"
"7.97","0.0205176046079281","1","1.0258802303964","50","51.0258802303964"
"7.98","0.0202899010894212","1","1.01449505447106","50","51.0144950544711"
"7.99","0.0200644035820215","1","1.00322017910107","50","51.0032201791011"
"8","0.0198410947443703","1","0.992054737218514","50","50.9920547372185"
"8.01","0.0196199573235037","1","0.980997866175187","50","50.9809978661752"
"8.02","0.0194009741549668","1","0.970048707748338","50","50.9700487077483"
"8.03","0.019184128162919","1","0.959206408145948","50","50.959206408146"
"8.04","0.0189694023602324","1","0.948470118011618","50","50.9484701180116"
"8.05","0.018756779848581","1","0.937838992429052","50","50.9378389924291"
"8.06","0.0185462438185224","1","0.927312190926118","50","50.9273121909261"
"8.07","0.0183377775495707","1","0.916888877478537","50","50.9168888774785"
"8.08","0.018131364410263","1","0.906568220513148","50","50.9065682205132"
"8.09","0.0179269878582162","1","0.896349392910809","50","50.8963493929108"
"8.1","0.0177246314401778","1","0.886231572008888","50","50.8862315720089"
"8.11","0.0175242787920679","1","0.876213939603394","50","50.8762139396034"
"8.12","0.017325913639014","1","0.866295681950702","50","50.8662956819507"
"8.13","0.0171295197953787","1","0.856475989768936","50","50.8564759897689"
"8.14","0.016935081164779","1","0.846754058238951","50","50.846754058239"
"8.15","0.0167425817400993","1","0.837129087004967","50","50.837129087005"
"8.16","0.0165520056034967","1","0.827600280174837","50","50.8276002801748"
"8.17","0.0163633369263991","1","0.818166846319957","50","50.81816684632"
"8.18","0.0161765599694963","1","0.808827998474817","50","50.8088279984748"
"8.19","0.0159916590827242","1","0.799582954136212","50","50.7995829541362"
"8.2","0.0158086187052419","1","0.790430935262093","50","50.7904309352621"
"8.21","0.0156274233654018","1","0.781371168270091","50","50.7813711682701"
"8.22","0.015448057680714","1","0.772402884035699","50","50.7724028840357"
"8.23","0.0152705063578022","1","0.763525317890108","50","50.7635253178901"
"8.24","0.0150947541923546","1","0.754737709617732","50","50.7547377096177"
"8.25","0.0149207860690678","1","0.746039303453392","50","50.7460393034534"
"8.26","0.0147485869615839","1","0.737429348079193","50","50.7374293480792"
"8.27","0.0145781419324213","1","0.728907096621067","50","50.7289070966211"
"8.28","0.0144094361329003","1","0.720471806645016","50","50.720471806645"
"8.29","0.0142424548030607","1","0.712122740153034","50","50.712122740153"
"8.3","0.0140771832715748","1","0.703859163578741","50","50.7038591635787"
"8.31","0.0139136069556538","1","0.695680347782688","50","50.6956803477827"
"8.32","0.0137517113609478","1","0.687585568047389","50","50.6875855680474"
"8.33","0.013591482081441","1","0.679574104072049","50","50.679574104072"
"8.34","0.01343290479934","1","0.671645239966999","50","50.671645239967"
"8.35","0.013275965284957","1","0.663798264247852","50","50.6637982642479"
"8.36","0.0131206493965874","1","0.656032469829372","50","50.6560324698294"
"8.37","0.0129669430803813","1","0.648347154019063","50","50.6483471540191"
"8.38","0.01281483237021","1","0.640741618510498","50","50.6407416185105"
"8.39","0.012664303387527","1","0.63321516937635","50","50.6332151693764"
"8.4","0.0125153423412237","1","0.625767117061183","50","50.6257671170612"
"8.41","0.0123679355274793","1","0.618396776373967","50","50.618396776374"
"8.42","0.0122220693296067","1","0.611103466480335","50","50.6111034664803"
"8.43","0.0120777302178917","1","0.603886510894586","50","50.6038865108946"
"8.44","0.0119349047494288","1","0.596745237471439","50","50.5967452374714"
"8.45","0.0117935795679507","1","0.589678978397533","50","50.5896789783975"
"8.46","0.0116537414036538","1","0.582687070182688","50","50.5826870701827"
"8.47","0.0115153770730185","1","0.575768853650924","50","50.5757688536509"
"8.48","0.0113784734786249","1","0.568923673931243","50","50.5689236739312"
"8.49","0.0112430176089636","1","0.562150880448178","50","50.5621508804482"
"8.5","0.0111089965382423","1","0.555449826912115","50","50.5554498269121"
"8.51","0.0109763974261877","1","0.548819871309384","50","50.5488198713094"
"8.52","0.0108452075178427","1","0.542260375892133","50","50.5422603758921"
"8.53","0.0107154141433597","1","0.535770707167986","50","50.535770707168"
"8.54","0.0105870047177894","1","0.529350235889472","50","50.5293502358895"
"8.55","0.0104599667408653","1","0.522998337043267","50","50.5229983370433"
"8.56","0.010334287796784","1","0.516714389839199","50","50.5167143898392"
"8.57","0.0102099555539815","1","0.510497777699077","50","50.5104977776991"
"8.58","0.0100869577649059","1","0.504347888245296","50","50.5043478882453"
"8.59","0.0099652822657853","1","0.498264113289265","50","50.4982641132893"
"8.6","0.00984491697639244","1","0.492245848819622","50","50.4922458488196"
"8.61","0.00972584989980554","1","0.486292494990277","50","50.4862924949903"
"8.62","0.00960806912216503","1","0.480403456108251","50","50.4804034561082"
"8.63","0.00949156281242703","1","0.474578140621352","50","50.4745781406214"
"8.64","0.00937631922211288","1","0.468815961105644","50","50.4688159611056"
"8.65","0.00926232668505537","1","0.463116334252768","50","50.4631163342528"
"8.66","0.00914957361714143","1","0.457478680857071","50","50.4574786808571"
"8.67","0.0090380485160514","1","0.45190242580257","50","50.4519024258026"
